iter	Passed	Remaining
760	41476	231034
761	41535	231006
762	41594	230977
763	41657	230967
764	41715	230936
765	41775	230908
766	41830	230860
767	41886	230814
768	41947	230791
769	42006	230762
770	42066	230736
771	42123	230695
772	42182	230667
773	42241	230635
774	42299	230598
775	42355	230555
776	42413	230516
777	42470	230474
778	42528	230438
779	42587	230410
780	42642	230357
781	42698	230312
782	42757	230279
783	42815	230242
784	42871	230193
785	42925	230137
786	42983	230100
787	43046	230091
788	43108	230076
789	43165	230033
790	43223	229994
791	43282	229966
792	43341	229934
793	43399	229895
794	43458	229864
795	43516	229828
796	43576	229802
797	43622	229700
798	43679	229659
799	43735	229610
800	43794	229577
801	43852	229541
802	43924	229575
803	43981	229532
804	44041	229507
805	44101	229483
806	44161	229454
807	44217	229404
808	44270	229344
809	44329	229307
810	44385	229261
811	44441	229211
812	44471	229033
813	44526	228977
814	44591	228976
815	44654	228966
816	44716	228945
817	44774	228907
818	44819	228804
819	44882	228788
820	44939	228748
821	45002	228735
822	45062	228707
823	45126	228698
824	45177	228624
825	45240	228611
826	45302	228593
827	45400	228757
828	45460	228729
829	45519	228693
830	45576	228649
831	45631	228596
832	45673	228476
833	45730	228432
834	45786	228383
835	45841	228330
836	45897	228283
837	45953	228233
838	46007	228172
839	46070	228159
840	46128	228120
841	46188	228090
842	46248	228060
843	46323	228107
844	46384	228078
845	46448	228070
846	46508	228041
847	46566	228000
848	46637	228021
849	46697	227994
850	46756	227957
851	46814	227917
852	46872	227876
853	46927	227823
854	46987	227794
855	47014	227602
856	47074	227570
857	47142	227582
858	47197	227527
859	47256	227490
860	47318	227470
861	47379	227443
862	47435	227391
863	47488	227330
864	47544	227281
865	47599	227226
866	47659	227194
867	47725	227191
868	47785	227161
869	47843	227119
870	47886	227008
871	47946	226977
872	48001	226922
873	48064	226902
874	48123	226868
875	48181	226828
876	48238	226781
877	48262	226580
878	48317	226526
879	48373	226474
880	48431	226433
881	48487	226384
882	48516	226210
883	48569	226145
884	48628	226108
885	48685	226064
886	48752	226066
887	48807	226009
888	48865	225970
889	48905	225846
890	48963	225803
891	49024	225776
892	49080	225724
893	49144	225714
894	49212	225715
895	49271	225682
896	49325	225622
897	49385	225587
898	49444	225551
899	49502	225509
900	49560	225467
901	49617	225424
902	49677	225390
903	49741	225376
904	49798	225332
905	49854	225280
906	49908	225220
907	49966	225178
908	50024	225139
909	50084	225105
910	50140	225055
911	50197	225009
912	50255	224967
913	50313	224923
914	50373	224889
915	50427	224833
916	50488	224804
917	50547	224764
918	50607	224731
919	50664	224684
920	50721	224637
921	50775	224580
922	50838	224560
923	50902	224545
924	50954	224476
925	51014	224442
926	51072	224398
927	51132	224367
928	51211	224414
929	51272	224386
930	51335	224366
931	51397	224342
932	51459	224314
933	51518	224275
934	51576	224235
935	51637	224203
936	51698	224175
937	51758	224141
938	51825	224137
939	51884	224097
940	51947	224076
941	52006	224036
942	52049	223930
943	52116	223925
944	52150	223779
945	52211	223747
946	52266	223693
947	52321	223635
948	52377	223584
949	52431	223525
950	52488	223476
951	52544	223422
952	52601	223375
953	52660	223338
954	52719	223299
955	52777	223254
956	52832	223199
957	52891	223161
958	52949	223118
959	53012	223093
960	53069	223048
961	53129	223009
962	53187	222969
963	53245	222922
964	53303	222878
965	53359	222828
966	53415	222774
967	53478	222751
968	53535	222706
969	53593	222662
970	53648	222604
971	53703	222548
972	53761	222505
973	53819	222459
974	53871	222393
975	53926	222335
976	53982	222282
977	54041	222245
978	54099	222198
979	54156	222150
980	54216	222115
981	54275	222077
982	54337	222049
983	54394	221999
984	54451	221952
985	54506	221896
986	54561	221840
987	54619	221794
988	54673	221734
989	54727	221672
990	54781	221614
991	54838	221566
992	54894	221512
993	54950	221458
994	55005	221404
995	55062	221356
996	55128	221345
997	55186	221298
998	55242	221248
999	55297	221191
1000	55354	221143
1001	55409	221085
1002	55462	221021
1003	55518	220966
1004	55573	220910
1005	55632	220869
1006	55688	220819
1007	55743	220760
1008	55800	220712
1009	55861	220678
1010	55916	220625
1011	55972	220573
1012	56028	220519
1013	56091	220494
1014	56149	220449
1015	56204	220390
1016	56260	220339
1017	56316	220288
1018	56370	220228
1019	56426	220175
1020	56482	220122
1021	56535	220058
1022	56590	220001
1023	56647	219950
1024	56719	219960
1025	56777	219916
1026	56832	219858
1027	56891	219817
1028	56947	219767
1029	57004	219716
1030	57061	219666
1031	57116	219610
1032	57172	219556
1033	57228	219506
1034	57286	219458
1035	57345	219417
1036	57403	219374
1037	57462	219332
1038	57521	219291
1039	57583	219258
1040	57637	219201
1041	57695	219154
1042	57753	219108
1043	57807	219048
1044	57863	218994
1045	57918	218938
1046	57976	218892
1047	58034	218849
1048	58094	218808
1049	58151	218761
1050	58207	218707
1051	58267	218668
1052	58325	218622
1053	58383	218577
1054	58437	218519
1055	58493	218464
1056	58547	218403
1057	58598	218331
1058	58653	218274
1059	58706	218212
1060	58766	218172
1061	58825	218129
1062	58881	218078
1063	58941	218040
1064	58996	217983
1065	59058	217950
1066	59117	217908
1067	59173	217854
1068	59228	217798
1069	59283	217740
1070	59344	217707
1071	59401	217658
1072	59463	217626
1073	59522	217583
1074	59580	217539
1075	59636	217485
1076	59694	217438
1077	59750	217386
1078	59805	217328
1079	59863	217281
1080	59930	217268
1081	59989	217226
1082	60044	217170
1083	60099	217110
1084	60154	217054
1085	60213	217014
1086	60266	216949
1087	60321	216890
1088	60394	216897
1089	60450	216845
1090	60508	216800
1091	60563	216743
1092	60622	216700
1093	60683	216663
1094	60741	216617
1095	60799	216569
1096	60855	216518
1097	60914	216473
1098	60971	216424
1099	61027	216370
1100	61089	216336
1101	61143	216276
1102	61200	216228
1103	61259	216185
1104	61317	216137
1105	61372	216081
1106	61427	216024
1107	61484	215972
1108	61542	215924
1109	61600	215878
1110	61656	215825
1111	61712	215771
1112	61766	215711
1113	61825	215666
1114	61881	215613
1115	61935	215554
1116	61998	215525
1117	62060	215492
1118	62121	215453
1119	62179	215408
1120	62238	215363
1121	62295	215312
1122	62353	215265
1123	62410	215216
1124	62464	215154
1125	62522	215109
1126	62585	215078
1127	62644	215036
1128	62699	214976
1129	62756	214926
1130	62812	214872
1131	62869	214823
1132	62927	214775
1133	62984	214723
1134	63044	214685
1135	63100	214632
1136	63159	214585
1137	63218	214543
1138	63275	214491
1139	63328	214428
1140	63382	214367
1141	63441	214322
1142	63495	214262
1143	63551	214209
1144	63607	214154
1145	63672	214130
1146	63728	214078
1147	63787	214032
1148	63846	213988
1149	63901	213932
1150	63958	213881
1151	64017	213835
1152	64073	213782
1153	64128	213725
1154	64188	213682
1155	64243	213627
1156	64298	213567
1157	64353	213511
1158	64408	213454
1159	64466	213407
1160	64527	213370
1161	64586	213323
1162	64641	213267
1163	64697	213211
1164	64755	213165
1165	64811	213112
1166	64865	213048
1167	64920	212993
1168	64978	212946
1169	65050	212944
1170	65121	212938
1171	65179	212889
1172	65235	212836
1173	65292	212784
1174	65350	212737
1175	65406	212683
1176	65474	212666
1177	65533	212622
1178	65592	212577
1179	65651	212534
1180	65708	212481
1181	65768	212438
1182	65830	212404
1183	65887	212354
1184	65943	212300
1185	65999	212243
1186	66060	212204
1187	66118	212159
1188	66190	212156
1189	66246	212101
1190	66319	212100
1191	66378	212056
1192	66436	212005
1193	66489	211941
1194	66545	211886
1195	66601	211834
1196	66657	211779
1197	66715	211729
1198	66768	211666
1199	66829	211625
1200	66890	211587
1201	66952	211552
1202	67010	211505
1203	67071	211465
1204	67129	211416
1205	67191	211381
1206	67249	211331
1207	67302	211267
1208	67359	211216
1209	67421	211179
1210	67480	211134
1211	67535	211076
1212	67590	211019
1213	67648	210971
1214	67707	210922
1215	67763	210868
1216	67823	210828
1217	67880	210774
1218	67936	210719
1219	67990	210658
1220	68047	210605
1221	68124	210615
1222	68178	210557
1223	68234	210501
1224	68295	210460
1225	68355	210417
1226	68413	210370
1227	68471	210320
1228	68529	210273
1229	68590	210231
1230	68646	210176
1231	68703	210124
1232	68760	210073
1233	68818	210025
1234	68878	209983
1235	68935	209929
1236	68992	209877
1237	69051	209831
1238	69112	209793
1239	69176	209760
1240	69239	209726
1241	69297	209677
1242	69355	209629
1243	69414	209581
1244	69471	209529
1245	69535	209498
1246	69592	209448
1247	69652	209403
1248	69709	209351
1249	69782	209347
1250	69842	209302
1251	69900	209254
1252	69972	209247
1253	70031	209200
1254	70091	209157
1255	70158	209135
1256	70216	209086
1257	70273	209034
1258	70332	208985
1259	70390	208937
1260	70447	208885
1261	70503	208829
1262	70563	208785
1263	70620	208733
1264	70677	208680
1265	70741	208646
1266	70796	208590
1267	70858	208550
1268	70916	208501
